Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",-113.728500,-93.954600,90.000000,bottom
"C2","1u","C_0603_1608Metric",-111.950500,-93.954600,90.000000,bottom
"C3","4.7u","C_0603_1608Metric",-126.873000,-88.468100,90.000000,bottom
"C4","4.7u","C_0603_1608Metric",-129.730500,-90.017600,90.000000,bottom
"C5","100n","C_0603_1608Metric",-125.158500,-88.468100,90.000000,bottom
"C6","100n","C_0603_1608Metric",-115.405000,-100.685600,180.000000,bottom
"C7","100n","C_0603_1608Metric",-117.640000,-102.209600,180.000000,bottom
"C8","100n","C_0603_1608Metric",-121.323000,-89.255600,180.000000,bottom
"C9","100n","C_0603_1608Metric",-131.635500,-100.685600,90.000000,bottom
"C10","220p","C_0603_1608Metric",-189.751500,-152.445753,45.000000,bottom
"C11","100n","C_0603_1608Metric",-191.001500,-153.752600,45.000000,bottom
"C12","220p","C_0603_1608Metric",-87.058347,-153.809447,315.000000,bottom
"C13","100n","C_0603_1608Metric",-88.308347,-152.559447,315.000000,bottom
"C14","220p","C_0603_1608Metric",-195.808347,-44.809447,315.000000,bottom
"C15","100n","C_0603_1608Metric",-194.694653,-45.945753,135.000000,bottom
"C16","220p","C_0603_1608Metric",-86.913694,-40.445753,225.000000,bottom
"C17","100n","C_0603_1608Metric",-88.194653,-41.559447,225.000000,bottom
"L1","2.2uH/15mA","L_0603_1608Metric",-115.506500,-93.954600,90.000000,bottom
"MK1","SPH0645LM4H-B","MIC_SPH0645LM4H-B",-193.468039,-151.469139,225.000000,bottom
"MK2","SPH0645LM4H-B","MIC_SPH0645LM4H-B",-84.501500,-151.502600,135.000000,bottom
"MK3","SPH0645LM4H-B","MIC_SPH0645LM4H-B",-193.504436,-42.536061,315.000000,bottom
"MK4","SPH0645LM4H-B","MIC_SPH0645LM4H-B",-84.501500,-42.502600,45.000000,bottom
"R1","10k","R_0603_1608Metric",-122.872500,-104.622600,0.000000,bottom
"R2","10k","R_0603_1608Metric",-196.044653,-148.959447,225.000000,bottom
"R3","68","R_0603_1608Metric",-194.808347,-147.695753,45.000000,bottom
"R4","10k","R_0603_1608Metric",-82.194653,-148.945753,315.000000,bottom
"R5","68","R_0603_1608Metric",-83.444653,-147.695753,135.000000,bottom
"R6","10k","R_0603_1608Metric",-190.694653,-39.945753,315.000000,bottom
"R7","68","R_0603_1608Metric",-189.444653,-41.195753,135.000000,bottom
"R8","10k","R_0603_1608Metric",-82.058347,-44.945753,45.000000,bottom
"R9","68","R_0603_1608Metric",-83.308347,-46.195753,225.000000,bottom
"U1","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",-123.801000,-97.002600,0.000000,bottom
"U2","DS28E05P","TSOC-6_3.76x3.94mm_P1.27mm",138.988800,-118.977600,270.000000,top
